英語,日本語,品詞,例文英語１,例文日本語１,例文英語2,例文日本語2,例文英語3,例文日本語3,例文英語4,例文日本語4,last_learned_date,mistake_count,correct_count
in touch,"連絡中,連絡が取れて",熟語,Let's keep in touch.,連絡を取り合いましょう。,I'm trying to get in touch with him.,私は彼と連絡を取ろうとしている。,Are you still in touch with your old friends?,今でも昔の友達と連絡を取り合っていますか？,We haven't been in touch for a long time.,私たちは長い間連絡を取り合っていない。,,0,0
melt,"溶ける,を溶かす",動詞,The ice cream is melting.,アイスクリームが溶けている。,The snow will melt in the spring.,春には雪が溶けるだろう。,The sun melted the chocolate.,太陽がチョコレートを溶かした。,Her heart melted when she saw the puppy.,子犬を見て彼女の心はとろけた。,,0,0
in advance,"前もって,事前に",熟語,Please let me know in advance if you are coming.,もし来るなら、前もって知らせてください。,You need to book your tickets in advance.,チケットは事前に予約する必要がある。,Thank you in advance for your help.,ご協力に前もって感謝します。,I prepared for the meeting in advance.,私は事前に会議の準備をした。,,0,0
punish,"を罰する,懲らしめる",動詞,He was punished for his crime.,彼はその罪で罰せられた。,Don't punish the child for telling the truth.,真実を言ったことで子供を罰するな。,The teacher punished the students for cheating on the exam.,先生は試験でカンニングした生徒たちを罰した。,The law is designed to punish criminals.,その法律は犯罪者を罰するために作られている。,,0,0
assignment,"割り当て,配分",名詞,I have a lot of homework assignments to do.,私にはやるべき宿題がたくさんある。,The teacher gave us a new assignment.,先生は私たちに新しい課題を与えた。,What is your next assignment?,あなたの次の任務は何ですか？,The assignment of tasks was done fairly.,仕事の割り当ては公平に行われた。,,0,0
suffer,"を患う,苦しむ",動詞,He is suffering from a serious illness.,彼は重い病気を患っている。,Many people suffer from stress in modern society.,現代社会では多くの人々がストレスに苦しんでいる。,The company suffered a great loss last year.,その会社は昨年、大きな損失を被った。,I can't bear to see animals suffer.,動物が苦しむのを見るのは耐えられない。,,0,0
work out,"練習する,運動する",熟語,I work out at the gym three times a week.,私は週に3回ジムで運動している。,Things will work out in the end.,最終的にはうまくいくよ。,We need to work out a plan to solve this problem.,この問題を解決するための計画を練る必要がある。,I can't work out the answer to this math problem.,この数学の問題の答えが解けない。,,0,0
despite,"にも関わらず,けれども",前置詞,"Despite the rain, we went for a walk.",雨にもかかわらず、私たちは散歩に出かけた。,He succeeded despite all the difficulties.,彼はあらゆる困難にもかかわらず成功した。,"Despite his age, he is very active.",彼は高齢にもかかわらず、とても活動的だ。,She failed the exam despite studying hard.,彼女は一生懸命勉強したにもかかわらず、試験に落ちた。,,0,0
luckily,"幸いなことに,幸運にも",副詞,"Luckily, no one was injured in the accident.",幸いなことに、その事故で負傷者はいなかった。,I luckily found my lost wallet.,幸運にも、なくした財布を見つけた。,"Luckily, the weather was good on our trip.",幸いなことに、私たちの旅行中は天気が良かった。,He luckily caught the last train.,彼は幸運にも最終電車に間に合った。,,0,0
apology,"謝罪,お詫び",名詞,Please accept my sincere apology.,心からお詫び申し上げます。,He made an apology for his mistake.,彼は自分の間違いについて謝罪した。,I demand an apology from you.,私はあなたに謝罪を要求します。,An apology is not enough.,謝罪だけでは不十分だ。,,0,0
destination,"目的地,行き先",名詞,What is your final destination?,最終目的地はどこですか？,We finally reached our destination after a long journey.,長い旅の末、私たちはついに目的地に到着した。,This train is bound for the destination of Tokyo.,この電車は東京行きの終点です。,Paris is a popular tourist destination.,パリは人気の観光地だ。,,0,0
candidate,"候補者,志願者",名詞,There are three candidates for the job.,その仕事には3人の候補者がいる。,Who is the best candidate for president?,大統領に最もふさわしい候補者は誰ですか？,She is a strong candidate for the position.,彼女はその職の有力な候補者だ。,The candidates are giving speeches tonight.,候補者たちは今夜、演説を行う。,,0,0
at last,"ついに,やっと",熟語,"At last, we have finished the project.",ついに、私たちはプロジェクトを終えた。,He has come back home at last.,彼はついに家に帰ってきた。,"At last, the rain has stopped.",やっと雨がやんだ。,I have found my lost key at last.,ついに、なくした鍵を見つけた。,,0,0
offensive,"攻撃的な,無礼な",形容詞,His comments were very offensive.,彼のコメントは非常に無礼だった。,The team has a strong offensive line.,そのチームは強力な攻撃陣を持っている。,I find that smell very offensive.,その匂いはとても不快だ。,He was arrested for carrying an offensive weapon.,彼は攻撃的な武器を携帯していたため逮捕された。,,0,0
celebration,"お祝い,祝典",名詞,We had a big celebration for her birthday.,私たちは彼女の誕生日に盛大なお祝いをした。,The whole town joined in the celebration.,町中がお祝いに参加した。,The wedding celebration lasted for three days.,結婚のお祝いは3日間続いた。,There will be a celebration in the park tomorrow.,明日、公園でお祝いがある。,,0,0
whisper,"ささやく,を耳打ちする",動詞,She whispered a secret in my ear.,彼女は私の耳に秘密をささやいた。,Don't whisper in class.,授業中にささやかないでください。,The wind whispered through the trees.,風が木々の間をささやくように吹き抜けた。,What are you two whispering about?,あなたたち2人は何をささやいているの？,,0,0
from time to time,"時々,偶に",熟語,I visit my grandparents from time to time.,私は時々祖父母を訪ねます。,"From time to time, I enjoy a good movie.",時々、私は良い映画を楽しみます。,He makes mistakes from time to time.,彼は時々間違いをします。,We all need a break from time to time.,私たちは皆、時々休憩が必要です。,,0,0
compromise,"妥協,和解",名詞,They reached a compromise after a long negotiation.,長い交渉の末、彼らは妥協に達した。,Compromise is an important part of any relationship.,妥協はどんな関係においても重要な部分だ。,We are not willing to make any compromises on quality.,私たちは品質に関して一切の妥協をするつもりはない。,The two sides were unable to reach a compromise.,両者は和解することができなかった。,,0,0
delete,"を削除する,消す",動詞,Please delete this file.,このファイルを削除してください。,I accidentally deleted all my photos.,私は誤ってすべての写真を削除してしまった。,You can't delete this folder.,このフォルダは削除できません。,The message was deleted from the server.,メッセージはサーバーから削除された。,,0,0
enormous,"非常に大きい,極端に大きい",形容詞,He has an enormous amount of money.,彼は莫大な額のお金を持っている。,The elephant is an enormous animal.,象は非常に大きな動物だ。,The project was an enormous success.,そのプロジェクトは大成功だった。,I have an enormous amount of work to do.,私にはやらなければならない仕事が山ほどある。,,0,0
directly,"直接,直接的に",副詞,I went directly home after work.,私は仕事の後、直接家に帰った。,Please contact me directly if you have any questions.,ご質問があれば直接私に連絡してください。,The new policy will directly affect our company.,新しい方針は我が社に直接影響するだろう。,He looked directly at me when he said it.,彼はそれを言うとき、私のことをまっすぐに見た。,,0,0
appropriate,"適当な,充当する","形容詞,動詞",Please wear appropriate clothing for the interview.,面接には適切な服装を着用してください。,The government will appropriate funds for the new project.,政府は新しいプロジェクトに資金を充当します。,His speech was not appropriate for the occasion.,彼のスピーチはその場にふさわしくありませんでした。,It is not appropriate to talk loudly in the library.,図書館で大声で話すのは適切ではありません。,,0,0
breath,"息,呼吸",名詞,Take a deep breath.,深呼吸をしてください。,He held his breath underwater.,彼は水中で息を止めた。,She was out of breath after running.,彼女は走った後、息が切れていた。,His bad breath was noticeable.,彼の口臭は目立った。,,0,0
neighbor,"隣人,近隣住民",名詞,Our new neighbor is very friendly.,私たちの新しい隣人はとても親切です。,He helped his neighbor with the gardening.,彼は隣人の庭仕事を手伝った。,She borrowed a cup of sugar from her neighbor.,彼女は隣人から砂糖を借りた。,The noise from the neighbors was annoying.,隣人からの騒音が迷惑だった。,,0,0
mention,"言及する,参照する",動詞,Did he mention anything about the meeting?,彼は会議について何か言及しましたか？,Please don't mention my name.,私の名前は出さないでください。,He failed to mention the most important detail.,彼は最も重要な詳細に言及しなかった。,It's worth mentioning that the price includes tax.,価格に税金が含まれていることは言及する価値がある。,,0,0
while,"～の間に,だけれども",接続詞,I read a book while waiting for the bus.,バスを待っている間に本を読んだ。,"While I understand your point, I don't agree.",あなたの意見は理解できますが、同意できません。,He slept while she worked.,彼女が働いている間、彼は寝ていた。,It's been a while since we last met.,最後に会ってからしばらく経つ。,,0,0
especially,"特に,格段に",副詞,"I love Italian food, especially pasta.",イタリア料理が大好きです、特にパスタが。,He is especially good at math.,彼は特に数学が得意だ。,"The weather was cold, especially in the morning.",天気は寒かった、特に朝は。,This gift is especially for you.,この贈り物は特にあなたのために。,,0,0
guess,"推測する,予想する",動詞,Can you guess my age?,私の年齢を当てられますか？,I guess I'll go with you.,たぶん、あなたと一緒に行きます。,It's hard to guess what will happen next.,次に何が起こるか推測するのは難しい。,Your guess is as good as mine.,あなたの推測は私と同じくらいだ。,,0,0
suddenly,突然に,副詞,The dog suddenly barked.,犬が突然吠えた。,He suddenly appeared from behind the tree.,彼は突然、木の陰から現れた。,The weather suddenly changed.,天気が突然変わった。,I suddenly remembered I had an appointment.,突然、約束があることを思い出した。,,0,0
gain,"得る,獲得する",動詞,He gained a lot of experience from his trip.,彼は旅行から多くの経験を得た。,The company gained a significant market share.,その会社はかなりの市場シェアを獲得した。,You will gain nothing by arguing with him.,彼と議論しても何も得られないだろう。,She gained weight during the holidays.,彼女は休暇中に体重が増えた。,,0,0
several,"幾つかの,いくらかの",形容詞,I have several books on this topic.,このテーマに関する本を何冊か持っています。,Several people attended the meeting.,数人が会議に出席した。,She visited several countries in Europe.,彼女はヨーロッパのいくつかの国を訪れた。,It took several hours to complete the task.,そのタスクを完了するのに数時間かかった。,,0,0
immune,"免疫の,免疫のある",形容詞,He is immune to criticism.,彼は批判に免疫がある。,The vaccine makes you immune to the virus.,そのワクチンはあなたをウイルスに免疫にする。,No one is immune from taxes.,誰も税金から免れることはできない。,She seems immune to the cold.,彼女は寒さに免疫があるようだ。,,0,0
disorder,"無秩序,混乱",名詞,The room was in complete disorder.,部屋は完全に無秩序だった。,He suffers from a sleep disorder.,彼は睡眠障害を患っている。,The protest ended in disorder.,抗議は混乱に終わった。,The doctor diagnosed her with a mental disorder.,医者は彼女を精神障害と診断した。,,0,0
mental,"精神の,心の",形容詞,Mental health is as important as physical health.,精神的な健康は身体的な健康と同じくらい重要です。,He has a strong mental attitude.,彼は強い精神的な態度を持っている。,The job requires a lot of mental effort.,その仕事は多くの精神的な努力を必要とする。,She is suffering from mental stress.,彼女は精神的なストレスに苦しんでいる。,,0,0
intend to,"するつもりである,する意図がある",熟語,I intend to finish this project by Friday.,金曜日までにこのプロジェクトを終えるつもりです。,What do you intend to do about this problem?,この問題についてどうするつもりですか？,He didn't intend to hurt your feelings.,彼はあなたの気持ちを傷つけるつもりはなかった。,She intends to study abroad next year.,彼女は来年、留学するつもりだ。,,0,0
at present,"現在は,今は",熟語,"At present, I'm working on a new project.",現在、新しいプロジェクトに取り組んでいます。,The store is closed at present.,その店は現在閉まっている。,He is not available at present.,彼は現在、対応できません。,"At present, the situation is stable.",現在、状況は安定している。,,0,0
make a difference,"違いを生む,差をつける",熟語,Every small effort can make a difference.,どんな小さな努力でも違いを生むことができる。,Your support can make a difference in their lives.,あなたの支援は彼らの人生に変化をもたらすことができる。,Does it really make a difference which one I choose?,どちらを選んでも本当に違いがあるのか？,He wants to make a difference in the world.,彼は世界に変化をもたらしたいと思っている。,,0,0
opportunity,"機会,好機",名詞,This is a great opportunity to learn.,これは学ぶ良い機会です。,He missed the opportunity to apologize.,彼は謝る機会を逃した。,We should seize every opportunity.,私たちはあらゆる機会をつかむべきだ。,She got an opportunity to work abroad.,彼女は海外で働く機会を得た。,,0,0
on purpose,"故意に,わざと",熟語,He broke the vase on purpose.,彼はわざと花瓶を割った。,Did you do that on purpose?,わざとやったのですか？,She left her keys behind on purpose.,彼女はわざと鍵を置き忘れた。,It wasn't an accident; he did it on purpose.,それは事故ではなかった。彼はわざとやったのだ。,,0,0
exceptionally,"例外的に,非常に",副詞,She is an exceptionally talented musician.,彼女は例外的に才能のある音楽家だ。,The weather was exceptionally warm for this time of year.,今年のこの時期にしては例外的に暖かかった。,He performed exceptionally well in the exam.,彼は試験で非常に良い成績を収めた。,The food was exceptionally delicious.,その食べ物は非常に美味しかった。,,0,0
almost,"ほとんど,たいてい",副詞,I'm almost finished with my work.,仕事はほとんど終わった。,It's almost impossible to do that.,それはほとんど不可能だ。,She almost cried when she heard the news.,彼女はそのニュースを聞いてほとんど泣きそうになった。,He almost forgot his anniversary.,彼は結婚記念日をほとんど忘れるところだった。,,0,0
characteristic,"特有の,独特の",形容詞,A characteristic feature of the desert is its dryness.,砂漠の典型的な特徴はその乾燥である。,His characteristic smile brightened the room.,彼の独特の笑顔が部屋を明るくした。,The characteristic smell of coffee filled the air.,コーヒーの独特の香りが空気を満たした。,Patience is a characteristic of a good teacher.,忍耐力は良い教師の特徴である。,,0,0
similar to,"に似ている,類似している",熟語,Your car is similar to mine.,あなたの車は私の車に似ている。,The two cases are very similar to each other.,その2つのケースは互いによく似ている。,This situation is similar to what happened last year.,この状況は昨年起こったことと似ている。,His writing style is similar to that of a famous author.,彼の文体は有名な作家のそれに似ている。,,0,0
as to,"に関して,について",熟語,There was a question as to his honesty.,彼の正直さに関して疑問があった。,I'm not sure as to the exact time.,正確な時間についてはよくわからない。,He gave no information as to his whereabouts.,彼は自分の居場所に関して何の情報を与えなかった。,We need to decide as to the next steps.,次のステップに関して決定する必要がある。,,0,0
civilization,"文明,文明社会",名詞,Ancient civilizations left behind impressive ruins.,古代文明は印象的な遺跡を残した。,The development of writing was a key step in civilization.,文字の発達は文明における重要な一歩だった。,We live in a modern civilization.,私たちは現代文明に生きている。,The fall of a civilization can be caused by many factors.,文明の崩壊は多くの要因によって引き起こされる可能性がある。,,0,0
represent,"を表す,を代表する",動詞,The colors on the flag represent different states.,旗の色は異なる州を表している。,She was chosen to represent her country at the Olympics.,彼女はオリンピックで自国を代表するために選ばれた。,This graph represents the sales figures for the last quarter.,このグラフは前四半期の売上高を表している。,He represents the interests of the workers.,彼は労働者の利益を代表している。,,0,0
collapse,"崩壊する,つぶれる",動詞,The old building is in danger of collapse.,その古い建物は崩壊の危険がある。,He collapsed from exhaustion.,彼は疲労で倒れた。,The company's financial system collapsed.,その会社の金融システムは崩壊した。,The bridge collapsed during the earthquake.,地震で橋が崩壊した。,,0,0
insult,"を侮辱する,を罵る",動詞,He insulted me in front of everyone.,彼はみんなの前で私を侮辱した。,Don't insult his intelligence.,彼の知性を侮辱するな。,She felt insulted by his rude remarks.,彼女は彼の失礼な発言に侮辱されたと感じた。,It was an insult to his hard work.,それは彼の努力に対する侮辱だった。,,0,0
mixture,"混合物,複合体",名詞,The cake was a delicious mixture of flavors.,そのケーキは風味の美味しい混合物だった。,This paint is a mixture of red and blue.,この絵の具は赤と青の混合物だ。,His feelings were a mixture of joy and sadness.,彼の感情は喜びと悲しみの入り混じったものだった。,"The soil is a mixture of sand, clay, and humus.",土壌は砂、粘土、腐植土の混合物だ。,,0,0
isolated,"孤立した,隔離された",形容詞,The village is isolated from the rest of the world.,その村は世界の他の地域から孤立している。,He felt isolated after moving to a new city.,彼は新しい都市に引っ越した後、孤立感を感じた。,The research team worked in an isolated laboratory.,研究チームは隔離された実験室で働いた。,An isolated incident does not represent a trend.,孤立した出来事は傾向を表すものではない。,,0,0
punctual,"規則正しい,時間通りの",形容詞,She is always punctual for her appointments.,彼女はいつも約束の時間に正確だ。,It's important to be punctual for work.,仕事に時間通りに来ることが重要だ。,The train was punctual today.,電車は今日、時間通りだった。,He is known for being punctual.,彼は時間厳守で知られている。,,0,0
responsible,"責任がある,責任が伴う",形容詞,You are responsible for your own actions.,あなたは自分の行動に責任がある。,He is responsible for managing the team.,彼はチームの管理に責任がある。,Who is responsible for this mess?,この混乱の責任は誰にあるのか？,It's important to be a responsible citizen.,責任感のある市民であることが重要だ。,,0,0
frightened,"恐ろしかった,怖かった",形容詞,The child was frightened by the loud noise.,子供は大きな音に怖がった。,She was too frightened to speak.,彼女は怖すぎて話せなかった。,He looked frightened when he saw the dog.,彼は犬を見て怖がった。,Don't be frightened of making mistakes.,間違いを犯すことを恐れるな。,,0,0
guarantee,を保証する/保証,"動詞,名詞",We guarantee your satisfaction.,お客様の満足を保証します。,The product comes with a one-year guarantee.,その製品には1年間の保証が付いている。,I can't guarantee that he will come.,彼が来ることを保証できない。,This car has a five-year guarantee.,この車には5年間の保証が付いている。,,0,0
blame,"を非難する,批判する",動詞,Don't blame me for your mistakes.,私の間違いを私のせいにするな。,He blamed the accident on the bad weather.,彼は事故を悪天候のせいだと非難した。,She took the blame for the error.,彼女はその間違いの責任を負った。,It's easy to blame others.,他人を非難するのは簡単だ。,,0,0
anniversary,"～周年,記念日",名詞,Happy anniversary!,記念日おめでとう！,They celebrated their 10th wedding anniversary.,彼らは結婚10周年を祝った。,Today is the anniversary of the company's founding.,今日は会社の創立記念日だ。,We went out for dinner to celebrate our anniversary.,私たちは記念日を祝うために夕食に出かけた。,,0,0
violate,"違反する,破る",動詞,He violated the terms of his contract.,彼は契約の条件に違反した。,Don't violate the law.,法律を破るな。,The company violated environmental regulations.,その会社は環境規制に違反した。,His actions violated her trust.,彼の行動は彼女の信頼を裏切った。,,0,0
delay,"を遅らせる,先延ばしにする",動詞,The flight was delayed due to bad weather.,悪天候のため、フライトが遅れた。,Don't delay your decision.,決断を遅らせるな。,The project was delayed by several weeks.,プロジェクトは数週間遅れた。,Any further delay will cause problems.,これ以上の遅延は問題を引き起こすだろう。,,0,0
surround,"を取り囲む,を包囲する",動詞,Trees surround the house.,木々が家を取り囲んでいる。,The police surrounded the building.,警察が建物を包囲した。,He was surrounded by his friends.,彼は友達に囲まれていた。,A fence surrounds the garden.,フェンスが庭を囲んでいる。,,0,0
immigrate,"移住する,移転する",動詞,Many people immigrate to Canada for better opportunities.,多くの人々がより良い機会を求めてカナダに移住する。,His grandparents immigrated from Italy.,彼の祖父母はイタリアから移住してきた。,She decided to immigrate to Australia.,彼女はオーストラリアに移住することを決めた。,It's not easy to immigrate to a new country.,新しい国に移住するのは簡単ではない。,,0,0
correct,正確な/を訂正する,"形容詞,動詞",Please correct my mistakes.,私の間違いを訂正してください。,Is this the correct answer?,これが正しい答えですか？,He corrected his pronunciation.,彼は発音を訂正した。,Make sure your information is correct.,情報が正確であることを確認してください。,,0,0
landscape,"風景,眺め",名詞,The landscape was beautiful with rolling hills.,なだらかな丘が続く美しい風景だった。,He is a famous landscape painter.,彼は有名な風景画家だ。,The company is changing the competitive landscape.,その会社は競争環境を変えている。,The desert landscape stretched for miles.,砂漠の風景は何マイルも続いていた。,,0,0
instinct,"直感,本能,勘",名詞,Birds build nests by instinct.,鳥は本能で巣を作る。,Her first instinct was to run away.,彼女の最初の直感は逃げることだった。,He has a good instinct for business.,彼はビジネスの勘が良い。,Trust your instincts.,自分の直感を信じなさい。,,0,0
policy,"政策,方針",名詞,The government announced a new economic policy.,政府は新しい経済政策を発表した。,It is against company policy to smoke indoors.,屋内で喫煙することは会社のポリシーに反する。,What is your policy on refunds?,払い戻しに関するあなたのポリシーは何ですか？,The school has a strict anti-bullying policy.,その学校には厳格ないじめ防止策がある。,,0,0
obviously,"明らかに,明白に",副詞,He was obviously upset about something.,彼は明らかに何かに動揺していた。,"Obviously, we need to find a solution.",明らかに、解決策を見つける必要がある。,She was obviously tired after a long day.,彼女は長い一日の後、明らかに疲れていた。,The answer is obviously wrong.,その答えは明らかに間違っている。,,0,0
strangely,"不思議なことに,奇妙に",副詞,He was behaving strangely.,彼は奇妙に振る舞っていた。,"Strangely enough, I wasn't surprised.",不思議なことに、私は驚かなかった。,The house was strangely quiet.,家は奇妙に静かだった。,She looked at him strangely.,彼女は彼を奇妙な目で見た。,,0,0
chase,"を追跡する,追いかける/追跡","動詞,名詞",The dog chased the cat.,犬が猫を追いかけた。,"The police are in hot pursuit, chasing the suspect.",警察は容疑者を追跡中だ。,He enjoys the thrill of the chase.,彼は追跡のスリルを楽しんでいる。,Don't chase after money.,お金を追いかけるな。,,0,0
pour,"を注ぐ,激しく降る",動詞,Please pour me a glass of water.,水を一杯注いでください。,It started to pour rain.,雨が激しく降り始めた。,She poured the tea into the cups.,彼女はカップにお茶を注いだ。,The crowd poured out of the stadium.,群衆がスタジアムからどっと流れ出た。,,0,0
at one time,"一度に,同時に",熟語,You can only do one thing at one time.,一度にできることは一つだけだ。,"At one time, this area was a forest.",かつて、この地域は森だった。,She can speak three languages at one time.,彼女は一度に3つの言語を話せる。,Don't try to carry too many bags at one time.,一度にたくさんのバッグを運ぼうとしないでください。,,0,0
all the way,"はるばる,わざわざ",熟語,He walked all the way home.,彼は家までずっと歩いた。,She drove all the way to New York.,彼女はニューヨークまでずっと車を運転した。,I supported him all the way.,私は彼を最後まで支持した。,The sound carried all the way to the next room.,その音は隣の部屋まで届いた。,,0,0
show up,"現れる,出現する",熟語,He didn't show up for the meeting.,彼は会議に現れなかった。,I hope she shows up on time.,彼女が時間通りに現れることを願っている。,The missing keys finally showed up.,行方不明の鍵がようやく見つかった。,He showed up unexpectedly at my door.,彼は突然私のドアに現れた。,,0,0
pull away,"引き離す,引き剥がす",熟語,The car pulled away from the curb.,車は縁石から離れて発進した。,She tried to pull away from his grasp.,彼女は彼のつかみから逃れようとした。,The horse pulled away from the stable.,馬は厩舎から引き離された。,He pulled away from the fight.,彼は喧嘩から身を引いた。,,0,0
try out,"を試す,十分に試してみる",熟語,Let's try out the new restaurant.,新しいレストランを試してみよう。,He tried out for the basketball team.,彼はバスケットボールチームの入団テストを受けた。,You should try out this new software.,この新しいソフトウェアを試してみるべきだ。,I'm going to try out a new recipe tonight.,今夜、新しいレシピを試してみるつもりだ。,,0,0
break into,に押し入る,熟語,Someone tried to break into my house last night.,昨夜、誰かが私の家に押し入ろうとした。,He wants to break into the music industry.,彼は音楽業界に参入したいと思っている。,The thief broke into the car.,泥棒は車に押し入った。,She broke into a run when she saw him.,彼女は彼を見て走り出した。,,0,0
call it a day,"終了する,仕事を切り上げる",熟語,Let's call it a day and go home.,今日はこれで終わりにしよう、家に帰ろう。,"I'm tired, so I'm going to call it a day.",疲れたので、今日は仕事を切り上げる。,"We've done enough work, let's call it a day.",十分仕事をしたから、今日は終わりにしよう。,"It's getting late, so let's call it a day.",遅くなってきたから、今日は終わりにしよう。,,0,0
be awake,目を覚ましている,熟語,I was awake all night.,一晩中目を覚ましていた。,Are you still awake?,まだ起きていますか？,He was wide awake and couldn't sleep.,彼は完全に目を覚ましていて眠れなかった。,She was awake early in the morning.,彼女は朝早くに目を覚ましていた。,,0,0
issue,"問題,（雑誌などの）号",名詞,We need to address this issue immediately.,この問題にすぐに対処する必要がある。,The latest issue of the magazine is out.,雑誌の最新号が出た。,Environmental issues are very important.,環境問題は非常に重要だ。,He has some trust issues.,彼にはいくつかの信頼問題がある。,,0,0
elderly,"年配の,高齢の",形容詞,The elderly need special care.,高齢者には特別な介護が必要だ。,She volunteers at a home for the elderly.,彼女は高齢者向けの施設でボランティアをしている。,He is an elderly gentleman.,彼は年配の紳士だ。,Many elderly people live alone.,多くの高齢者が一人暮らしをしている。,,0,0
brightness,"輝度,明るさ",名詞,Adjust the brightness of the screen.,画面の明るさを調整してください。,The brightness of the sun hurt my eyes.,太陽の明るさが目を傷つけた。,She has a natural brightness about her.,彼女には生まれつきの明るさがある。,The brightness of the stars was amazing.,星の輝きは素晴らしかった。,,0,0
have an effect on,に影響を及ぼす,熟語,Smoking can have a negative effect on your health.,喫煙は健康に悪影響を及ぼす可能性がある。,The new policy will have a significant effect on the economy.,新しい政策は経済に大きな影響を与えるだろう。,His words had a strong effect on her.,彼の言葉は彼女に強い影響を与えた。,Lack of sleep can have a bad effect on your concentration.,睡眠不足は集中力に悪影響を及ぼす可能性がある。,,0,0
indoor,室内/屋内の,形容詞,We played indoor games because of the rain.,雨のため、室内ゲームをした。,The plant is suitable for indoor use.,その植物は屋内での使用に適している。,Indoor air quality is important for health.,室内の空気の質は健康にとって重要だ。,They have an indoor swimming pool.,彼らは屋内プールを持っている。,,0,0
senior,ポストが上の/年上の人,"形容詞,名詞",He is a senior manager in the company.,彼は会社のシニアマネージャーだ。,She is a senior citizen.,彼女は高齢者だ。,The senior students helped the freshmen.,上級生が新入生を助けた。,He has more senior experience than I do.,彼は私よりも上級の経験がある。,,0,0
natural,"当然の,自然の",形容詞,It's natural to feel nervous before an exam.,試験前に緊張するのは当然だ。,She has a natural talent for music.,彼女は音楽の才能が生まれつきある。,The park is home to many natural habitats.,その公園には多くの自然の生息地がある。,He prefers natural remedies.,彼は自然療法を好む。,,0,0
be adjusted to,"に調整する,調節する",熟語,The seat can be adjusted to your height.,座席はあなたの身長に合わせて調整できる。,The temperature needs to be adjusted to a comfortable level.,温度は快適なレベルに調整する必要がある。,The camera's settings can be adjusted to different lighting conditions.,カメラの設定は異なる照明条件に合わせて調整できる。,The volume should be adjusted to avoid disturbing others.,音量は他人に迷惑をかけないように調整すべきだ。,,0,0
specific,"具体的な,特定の",形容詞,Please be more specific.,もっと具体的にしてください。,Do you have any specific questions?,何か具体的な質問はありますか？,He gave specific instructions.,彼は具体的な指示を出した。,This medicine is for a specific type of headache.,この薬は特定の種類の頭痛に効く。,,0,0
heart rate,"心拍数,脈拍",熟語,My heart rate increased after running.,走った後、心拍数が上がった。,Monitor your heart rate during exercise.,運動中は心拍数を監視してください。,A normal resting heart rate is between 60 and 100 beats per minute.,正常な安静時心拍数は1分間に60から100拍の間です。,Stress can affect your heart rate.,ストレスは心拍数に影響を与える可能性がある。,,0,0
be beneficial to,"に有益である,役立つ",熟語,Exercise is beneficial to your health.,運動は健康に有益だ。,This new policy will be beneficial to everyone.,この新しい政策は皆に有益だろう。,Reading is beneficial to your mind.,読書は心に有益だ。,The program is beneficial to the community.,そのプログラムは地域社会に役立つ。,,0,0
what is called,"いわゆる,通称",熟語,He is what is called a self-made man.,彼はいわゆる叩き上げの男だ。,This is what is called a win-win situation.,これはいわゆるウィンウィンの状況だ。,She lives in what is called a smart home.,彼女はいわゆるスマートホームに住んでいる。,The phenomenon is what is called a mirage.,その現象はいわゆる蜃気楼だ。,,0,0
symmetry,"対称,左右対称",名詞,The building's design emphasizes symmetry.,その建物のデザインは対称性を強調している。,Nature often displays perfect symmetry.,自然はしばしば完璧な対称性を示す。,The human body has a certain degree of symmetry.,人体にはある程度の対称性がある。,He admired the symmetry of the garden.,彼は庭の対称性を賞賛した。,,0,0
each other,"お互い,それぞれ",熟語,They love each other very much.,彼らはお互いをとても愛している。,We should help each other.,私たちはお互いを助け合うべきだ。,They looked at each other and smiled.,彼らはお互いを見て微笑んだ。,The two buildings are close to each other.,その2つの建物は互いに近い。,,0,0
advantage,"有利,利点",名詞,His height is an advantage in basketball.,彼の身長はバスケットボールにおいて有利だ。,Take advantage of this opportunity.,この機会を利用しなさい。,What are the advantages of living in the city?,都会に住む利点は何ですか？,She has an advantage over other candidates.,彼女は他の候補者よりも有利だ。,,0,0
knee,膝,名詞,He fell and hurt his knee.,彼は転んで膝を痛めた。,She knelt on her knees.,彼女は膝をついた。,My knees are aching after the long walk.,長い散歩の後、膝が痛い。,The water was up to my knees.,水は私の膝まであった。,,0,0
check for,を調べる,熟語,Please check for errors in the report.,レポートに誤りがないか確認してください。,The doctor will check for any signs of infection.,医者は感染の兆候がないか調べるだろう。,I need to check for my keys.,鍵がないか確認する必要がある。,Check for updates regularly.,定期的に更新を確認してください。,,0,0
after all,"結局,最終的に",熟語,He decided to go after all.,彼は結局行くことにした。,It was a good decision after all.,結局、それは良い決断だった。,She was right after all.,結局、彼女が正しかった。,"Don't worry, everything will be fine after all.",心配しないで、結局すべてうまくいくよ。,,0,0
over time,"超過勤務,延長時間",熟語,His English improved over time.,彼の英語は時間が経つにつれて上達した。,The company's profits increased over time.,会社の利益は時間が経つにつれて増加した。,He worked a lot of overtime last month.,彼は先月、残業をたくさんした。,The changes will happen gradually over time.,変化は時間をかけて徐々に起こるだろう。,,0,0
